timestamp,soft_xray_flux,hard_xray_flux,soft_bg_subtracted,hard_bg_subtracted,source
2026-06-20T12:10:28Z,22.0,2.0,19.0,2.0,aditya
2026-06-20T12:10:29Z,28.0,0.0,25.0,0.0,aditya
2026-06-20T12:10:30Z,24.0,1.0,21.0,1.0,aditya
2026-06-20T12:10:31Z,28.0,3.0,25.0,3.0,aditya
2026-06-20T12:10:32Z,14.0,2.0,11.0,2.0,aditya
2026-06-20T12:10:33Z,31.0,3.0,28.0,3.0,aditya
2026-06-20T12:10:34Z,26.0,1.0,23.0,1.0,aditya
2026-06-20T12:10:35Z,20.0,10.0,17.0,10.0,aditya
2026-06-20T12:10:36Z,19.0,1.0,16.0,1.0,aditya
2026-06-20T12:10:37Z,32.0,3.0,29.0,3.0,aditya
2026-06-20T12:10:38Z,23.0,7.0,20.0,7.0,aditya
2026-06-20T12:10:39Z,28.0,3.0,25.0,3.0,aditya
2026-06-20T12:10:40Z,26.0,2.0,23.0,2.0,aditya
2026-06-20T12:10:41Z,30.0,5.0,27.0,5.0,aditya
2026-06-20T12:10:42Z,23.0,6.0,20.0,6.0,aditya
2026-06-20T12:10:43Z,16.0,3.0,13.0,3.0,aditya
2026-06-20T12:10:44Z,35.0,5.0,32.0,5.0,aditya
2026-06-20T12:10:45Z,22.0,7.0,19.0,7.0,aditya
2026-06-20T12:10:46Z,29.0,1.0,26.0,1.0,aditya
2026-06-20T12:10:47Z,20.0,1.0,17.0,1.0,aditya
2026-06-20T12:10:48Z,21.0,1.0,18.0,1.0,aditya
2026-06-20T12:10:49Z,21.0,8.0,18.0,8.0,aditya
2026-06-20T12:10:50Z,26.0,1.0,23.0,1.0,aditya
2026-06-20T12:10:51Z,17.0,0.0,14.0,0.0,aditya
2026-06-20T12:10:52Z,26.0,1.0,23.0,1.0,aditya
2026-06-20T12:10:53Z,24.0,4.0,21.0,4.0,aditya
2026-06-20T12:10:54Z,20.0,2.0,17.0,2.0,aditya
2026-06-20T12:10:55Z,23.0,2.0,20.0,2.0,aditya
2026-06-20T12:10:56Z,27.0,5.0,24.0,5.0,aditya
2026-06-20T12:10:57Z,28.0,1.0,25.0,1.0,aditya
2026-06-20T12:10:58Z,23.0,1.0,20.0,1.0,aditya
2026-06-20T12:10:59Z,32.0,4.0,29.0,4.0,aditya
