time_tag,A_FLUX,B_FLUX,A_QUALITY,B_QUALITY
2013-01-11 00:00:00,1.0335007104526776e-08,2.9635284871274893e-07,0,0
2013-01-11 00:01:00,1.0598195306085096e-08,2.874597749117958e-07,0,0
2013-01-11 00:02:00,1.0221761915525554e-08,3.071106277127272e-07,0,0
2013-01-11 00:03:00,9.276767479776358e-09,3.2645029958591766e-07,0,0
2013-01-11 00:04:00,1.0143419363913473e-08,2.8328849328726453e-07,0,0
2013-01-11 00:05:00,9.804328595433455e-09,2.94657051465332e-07,0,0
2013-01-11 00:06:00,9.705112384695112e-09,3.228677003569499e-07,0,0
2013-01-11 00:07:00,1.0419044360528494e-08,3.196295749777853e-07,0,0
2013-01-11 00:08:00,1.084580806511424e-08,2.9213818942445617e-07,0,0
2013-01-11 00:09:00,1.000979083524534e-08,3.1137576344495446e-07,0,0
2013-01-11 00:10:00,1.0268080056637798e-08,2.951144325556499e-07,0,0
2013-01-11 00:11:00,1.0825283897489496e-08,2.838491229604974e-07,0,0
2013-01-11 00:12:00,1.0249583903904907e-08,3.090828060186081e-07,0,0
2013-01-11 00:13:00,1.1473798272896606e-08,2.752544654576511e-07,0,0
2013-01-11 00:14:00,1.0396937049526908e-08,2.794332188242788e-07,0,0
2013-01-11 00:15:00,9.152635217585142e-09,3.132233578465352e-07,0,0
2013-01-11 00:16:00,1.0290230793546465e-08,2.7675597710669536e-07,0,0
2013-01-11 00:17:00,1.031831879451488e-08,3.1563444948736785e-07,0,0
2013-01-11 00:18:00,1.0543527087928768e-08,2.874978233019952e-07,0,0
2013-01-11 00:19:00,1.03962866571485e-08,2.832992412776521e-07,0,0
2013-01-11 00:20:00,1.0111743729209257e-08,3.253981885502049e-07,0,0
2013-01-11 00:21:00,9.511528442091194e-09,2.972273330757286e-07,0,0
2013-01-11 00:22:00,1.018578185199875e-08,3.010525665622492e-07,0,0
2013-01-11 00:23:00,9.782249459166285e-09,2.83820692677202e-07,0,0
2013-01-11 00:24:00,9.750128881088397e-09,2.8741228412327705e-07,0,0
2013-01-11 00:25:00,1.0413589562491544e-08,3.087078006100724e-07,0,0
2013-01-11 00:26:00,1.0989209280072953e-08,2.843499127280497e-07,0,0
2013-01-11 00:27:00,1.0161040818678665e-08,3.0363385856463687e-07,0,0
2013-01-11 00:28:00,9.440419467123745e-09,2.924246654621069e-07,0,0
2013-01-11 00:29:00,1.0297839543925889e-08,3.0567582387147944e-07,0,0
2013-01-11 00:30:00,1.0551625047940015e-08,2.9223450105858433e-07,0,0
2013-01-11 00:31:00,9.835350783463393e-09,3.353448607931775e-07,0,0
2013-01-11 00:32:00,1.0046647321856606e-08,3.003180854645751e-07,0,0
2013-01-11 00:33:00,9.983754546595549e-09,2.924220295795202e-07,0,0
2013-01-11 00:34:00,9.797792219776938e-09,3.2064658576353647e-07,0,0
2013-01-11 00:35:00,1.0558281508424872e-08,2.957745262494562e-07,0,0
2013-01-11 00:36:00,1.0118010322046954e-08,3.070171196217127e-07,0,0
2013-01-11 00:37:00,1.034383805593812e-08,2.797176275329228e-07,0,0
2013-01-11 00:38:00,9.783092139906583e-09,2.858511504504057e-07,0,0
2013-01-11 00:39:00,1.0017467239931906e-08,3.1458112866591096e-07,0,0
2013-01-11 00:40:00,1.057869189012231e-08,3.1309898564155566e-07,0,0
2013-01-11 00:41:00,9.907626194364915e-09,3.1169454028251695e-07,0,0
2013-01-11 00:42:00,1.112832574831087e-08,3.0273607410894185e-07,0,0
2013-01-11 00:43:00,1.0104672603735409e-08,3.007122253559506e-07,0,0
2013-01-11 00:44:00,1.0246409984875695e-08,2.8440086930812037e-07,0,0
2013-01-11 00:45:00,1.08916748242156e-08,2.9630522064036713e-07,0,0
